;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57
0;0;43,8668299;43,80639957;39,40315175;39,99028765;46,19073148;43,9220022;48,62156286;52,75604399;47,97146691;42,62373293;40,01938467;40,57889126;51,42049978;47,84578929;42,19587309;42,59656927;53,82035726;42,60344035;48,23050994;44,8349692;44,25210418;47,55897849;47,3172666;43,57664273;43,61632981;48,14309783;49,41703947;41,85920702;48,41000464;40,76788796;46,95187754;45,74295343;45,95815978;43,36957254;48,5754768;42,48746795;45,82534132;43,76369756;39,74716406;47,76500225;50,21601482;44,93426427;47,61847451;58,97523432;39,40247951;49,17601853;44,44888348;41,34720487;48,75724801;47,64238501;40,0510572;56,47725065;40,61809491;49,40783356;45,82512276;39,69324012;42,62507465
1;43,8668299;0;44,30536267;46,47809855;54,07542318;52,53412025;50,57875679;47,36266308;57,73157906;47,39795073;45,58630242;43,937463;43,85226116;58,07118989;46,40350739;39,47720367;53,94676426;55,07495171;49,93934885;48,73232145;48,46483708;40,54886001;42,79542704;53,1430321;48,47627825;48,46566937;45,30280522;55,62263184;44,98911852;32,39326128;49,37493193;54,68447363;52,67389281;43,80099894;46,76617839;44,08139395;36,44067682;47,07155243;35,96650627;49,03675908;50,22618682;54,45300652;57,63616202;49,0434361;62,65709568;44,91610039;50,7639373;41,22409836;41,64087345;53,54081981;53,2156707;46,03663129;54,14683284;48,20604451;52,09438643;45,87722879;42,84766305;43,6139233
2;43,80639957;44,30536267;0;39,73185551;53,14930615;59,83111023;53,22722023;51,15956116;61,87771984;52,27181752;47,56515721;47,36794027;46,01053018;58,81518277;45,83153322;41,4932981;55,06213087;44,49953005;42,29877311;46,97228397;50,39317842;49,44653495;46,21656724;52,22083521;48,46905753;47,20901578;42,29581494;59,16066756;43,91394565;45,24125876;54,71124901;54,41624433;52,07185253;48,34722567;49,28542639;43,92492016;43,40824962;46,49486793;38,40546023;51,02854677;43,38705021;47,56245681;57,49950341;43,15921039;57,20331489;44,47341088;53,35069858;46,29510876;39,0384546;48,8135178;46,15269721;54,72487019;44,39610624;48,90806504;52,16619508;51,60960645;43,15342938;41,46130458
3;39,40315175;46,47809855;39,73185551;0;43,19253435;43,10737582;39,69719043;44,35866519;46,49163084;44,53998667;40,35086321;36,6143977;37,34939758;49,10393949;47,68821617;39,74630149;42,16303831;42,46540455;38,88851517;41,0723096;39,43983746;46,63548754;45,01538446;42,98108586;45,11319222;41,79762668;40,93109953;45,19579659;41,96688618;48,39319848;40,41589325;46,06967345;35,1532723;43,8486892;36,84067172;43,57857607;43,65363371;44,53372869;43,03188927;42,14718758;37,85511209;38,88652357;42,62742883;42,50110942;51,13502304;37,79540579;50,20440409;42,80797081;36,04605175;38,39707834;34,65322746;41,6701148;48,60844173;39,8807116;45,15548442;39,82575223;40,7088721;38,59494781
4;39,99028765;54,07542318;53,14930615;43,19253435;0;42,8111186;39,65099304;47,60880339;46,93355779;43,13978856;40,77813156;50,15182158;42,48753447;40,67597859;54,47015406;41,93543073;37,90243595;51,7621257;52,50876688;52,46839524;38,87697756;46,33116517;53,23838047;45,75345313;50,26318963;41,69717544;51,96085024;41,67315099;39,93257424;58,77709843;44,49142309;48,27150687;48,52549395;52,03150584;45,34985206;46,76325292;49,74887141;49,53029006;53,20767875;50,15065393;45,96588281;52,52465198;45,93944876;53,7343032;53,52743639;46,34460352;44,43275761;47,46331946;43,56394824;48,40434284;48,83177271;39,19365445;58,20826468;47,07498583;49,21474218;45,21856475;49,13951144;41,75526677
5;46,19073148;52,53412025;59,83111023;43,10737582;42,8111186;0;35,86886983;36,60174152;39,62110858;41,24950031;44,32604647;44,60928766;46,50368699;46,47257542;59,75751791;51,48524367;37,91571133;52,33142113;47,68253366;54,89747143;45,49129384;47,37649932;54,86537627;46,8136231;49,69353592;44,65026832;56,31024878;40,59085085;50,34460456;57,82792566;44,06644393;42,72321609;40,46639924;50,36199703;47,25773564;49,43887578;56,57160937;49,16108166;56,15068446;49,02212645;46,72115457;47,26136723;35,16119173;52,72334105;48,86764786;48,25397917;53,09963564;48,07362914;49,39989903;49,08810471;46,33418248;38,9678192;60,61020331;43,72721777;47,58762516;36,4713495;43,31727036;44,88940993
6;43,9220022;50,57875679;53,22722023;39,69719043;39,65099304;35,86886983;0;38,78767746;39,88019954;37,65281879;44,16111844;46,39045407;40,48942227;45,76892974;54,83924596;45,25627209;37,1033332;49,21790308;45,53511782;46,39166677;43,11041696;45,55160002;50,23252836;46,70047922;49,44824416;40,49813485;46,41650978;41,9742728;45,08391315;53,57812831;37,27378119;46,57884354;34,03396436;43,33466209;44,98011448;46,85379053;47,54747804;47,10412452;51,08492205;46,08747059;45,6475462;43,95436864;39,15161056;48,90382107;48,18581263;44,45353978;49,32336701;41,73659816;43,77382772;47,90799144;43,6000877;35,76885748;55,13206805;44,28822111;45,13356856;37,16641591;42,85269501;41,14903446
7;48,62156286;47,36266308;51,15956116;44,35866519;47,60880339;36,60174152;38,78767746;0;40,3267934;41,81716138;50,32644001;47,65885699;48,81386219;46,02135805;57,5512053;47,01341306;44,10900262;48,74893107;46,6327561;53,96954027;46,56126923;41,92491842;52,86048514;46,73271049;47,82979105;44,97830984;53,44032995;42,5812678;46,87786516;52,38173757;49,08877842;47,62687618;44,49326752;48,09566382;47,03598412;47,11869559;50,93593771;45,44728008;48,65473822;50,71563599;48,55496174;45,49110148;45,92569874;54,57204578;48,54621426;46,78346934;45,37367721;42,24134926;40,5148728;45,71102984;44,32589145;45,40319159;55,11915648;48,24213509;51,96929973;36,40643083;43,50542613;42,01134656
8;52,75604399;57,73157906;61,87771984;46,49163084;46,93355779;39,62110858;39,88019954;40,3267934;0;39,30999715;48,50857825;52,28450335;49,43092378;42,35650008;61,79004489;47,90789092;38,79631082;48,89187811;53,1753395;55,67637478;46,31538804;46,29667715;56,74358507;47,28121009;50,88495012;49,02450042;55,00772348;39,44779803;55,64606905;61,43839811;43,30215099;51,21551223;44,02673749;48,23224275;48,72843389;50,78879873;55,01782951;54,69115341;57,80801972;54,06846696;50,83074126;48,31184857;41,55135715;58,47977372;45,1187165;46,71027266;52,96852565;46,1604097;45,09835794;44,70446113;45,71205325;45,09274404;60,6318781;47,41493795;48,15629528;43,63565117;51,36547648;44,41399233
9;47,97146691;47,39795073;52,27181752;44,53998667;43,13978856;41,24950031;37,65281879;41,81716138;39,30999715;0;38,29362501;49,10106648;42,21660617;48,44720771;45,97417492;37,98982467;40,88245019;44,3180031;44,82942995;42,06517143;43,68853532;38,56164596;44,17345973;43,5405709;46,30099206;39,0378858;47,14366577;39,67755568;42,71027208;51,37855255;46,19645577;47,66062466;44,48436367;46,18910362;45,19417693;39,51647266;45,06414164;45,1120587;51,71447398;53,39137889;48,00143483;43,78318204;45,33103795;47,71997759;48,68909784;41,62397395;44,90683045;35,97698876;40,7319819;49,74378914;45,06145233;37,14153337;49,02665958;45,02986995;41,72952012;40,32485146;40,22907152;41,64612319
