,A4,A35,A58,A63,A89,A94,A36,A42,A47,A59,A75,A98,A40,A51,A57,A2,A28,A85,A95,A7,A12,A13,A31,A50,A53,A96,A22,A44,A46,A64,A99,A17,A21,A41,A72,A88,A92,A15,A16,A23,A70,A8,A20,A49,A71,A78,A87,A100,A55,A62,A68,A5,A24,A27,A48,A74,A77,A82
A4,0.0,0.5398498293509428,0.5447620976848463,0.27153134928070966,0.6425662665021448,0.58703846036876,0.6513864559975155,0.5922932439236244,0.6006855123480708,0.6857737876690662,0.6720045420893027,0.5078585140120377,0.6016928998535094,0.22847787726601398,0.6816745402610426,0.4735910394675039,0.6699294982408384,0.5156395271068756,0.7701153590623387,0.823530630976096,0.5261916246610305,0.5089044215948519,0.8973678864887216,0.785589808895669,0.6680262706359743,0.7529317836373193,0.7033288067440258,0.7776835111701235,0.7775487446341068,0.7051758565737334,0.6621831574789532,0.29988705732127774,0.4821089824061292,0.26318552030748044,0.7751458163868746,0.4859852460105206,0.6081363022071847,0.46554608215598026,0.4377630488101494,0.6625442083295224,0.5470689785756355,0.8099980352727562,0.551793769035448,0.715449150577852,0.7184498938170498,0.5551092428802327,0.3534846941162144,0.5536339317564916,0.5021921200368404,0.35007880039366324,0.28754344172023094,0.4589021980473562,0.6366040257528489,0.291701261368553,0.5724399123346072,0.6399326990523222,0.6303286208272705,0.6440463016061153
A35,0.5398498293509428,0.0,0.24869027131479426,0.39549324499640937,0.3603842525474048,0.22793743237071395,0.2610200371521979,0.40349134502350636,0.39650380562031584,0.5528413064240264,0.22684463501324725,0.32775248429023596,0.5343422963895017,0.5798864643699515,0.2694977861912622,0.285860289657611,0.3407205233404248,0.43439187104502386,0.41697669003376425,0.363178713646753,0.4924714968074493,0.36213494400239243,0.3909392475063084,0.3738217880491168,0.728402466149894,0.5277329719067716,0.34920459902086065,0.4865396128374515,0.2875287879777755,0.21624228815418522,0.3257097754369713,0.4206490848058537,0.29557842335088425,0.3741288620581701,0.226645596592293,0.35659179760564896,0.39654433541800804,0.3682523415973944,0.3971310586096052,0.5997250221230062,0.37456866735452654,0.8235366309730794,0.39578281774670343,0.4878904403979808,0.34562819803705525,0.26581359123416504,0.6836715263220773,0.3369501964286692,0.2610775883526647,0.22840639172181243,0.4587384779976762,0.2492468632917313,0.31510248999745394,0.5343938818637817,0.3235182501792194,0.29421540820033965,0.2013175147798375,0.2099032546084454
A58,0.5447620976848463,0.24869027131479426,0.0,0.3568809893472529,0.3120042432816781,0.3501566971834934,0.22118684167079927,0.2855765539463617,0.46985003793638425,0.42301874197490796,0.3402918082921078,0.3274365333427095,0.28626087037842807,0.5622490061681544,0.1394857148672377,0.4920582352397036,0.3498091520242882,0.398751767335337,0.3155624429534196,0.3468867942568169,0.4677907837868318,0.24246051178316608,0.40895152887182906,0.4244723593043527,0.6380666548635414,0.6375634977576252,0.36737163982243637,0.44888374680095255,0.3633167168846214,0.3006795662394809,0.5287193377683657,0.4371417167552367,0.6138801030208463,0.315245897058437,0.24614126119064605,0.19023354980285279,0.3342416499914572,0.43389943355811167,0.22350907485046467,0.391919121816811,0.37063417302630397,0.7824874482063819,0.457471439420148,0.48216161028631976,0.23735037480497356,0.3103178907415889,0.5916819982456678,0.2219002706633928,0.47330976794217916,0.3040624177532323,0.3828282931360163,0.49502469452346065,0.16660202299397686,0.6346851324165328,0.19734463383642176,0.2076214166607825,0.37263179306769645,0.368856906560349
A63,0.27153134928070966,0.39549324499640937,0.3568809893472529,0.0,0.5214422148140769,0.4650922710861759,0.4969723468978684,0.38304009750478774,0.537315519938111,0.5863697028425716,0.5594185612015277,0.4471247556002842,0.39147601344990623,0.3300342840940008,0.4616571291655841,0.339599285872508,0.5259390003095423,0.5256429492161272,0.5262191751522196,0.5823261950933857,0.4861140872684072,0.2830434628861531,0.7814910792167473,0.5378205950262163,0.6493876350661429,0.7973987378607462,0.5048092364809558,0.6631097222223277,0.694749566984967,0.5558414239428255,0.5740492507432209,0.2931195574315677,0.5041714933901553,0.28044093014390614,0.6411612024090672,0.3538911669518928,0.43006009720690896,0.4718258466341555,0.36223926187139155,0.5923403090027572,0.3911759414252113,0.722203682216209,0.532112254753772,0.5914156090646662,0.5708836956693736,0.40204826808039673,0.34084942151481334,0.38260214064624887,0.5147910886488047,0.24791964645184672,0.2636890158893609,0.3785161451380179,0.473100564548,0.2721487767939791,0.2674634777664957,0.34596692819097274,0.5031409418517458,0.5146370470986925
A89,0.6425662665021448,0.3603842525474048,0.3120042432816781,0.5214422148140769,0.0,0.5263947313288346,0.22510996335653988,0.4551591872911529,0.5667181745927461,0.4230247474669827,0.47397965526591557,0.3846062243667743,0.3700373179603108,0.5502609452223153,0.39164403920544777,0.713475373949362,0.46851229964375274,0.5929868740761904,0.2580137672885362,0.18771017622142472,0.7135576700319183,0.45105608722848,0.4967255290165009,0.5930127606440587,0.5677448621570605,0.4861575072795825,0.5084263566292477,0.2759770588855802,0.5129163450506393,0.4523089481173319,0.7020069528945314,0.5635127726182921,0.6376889934407948,0.6241851371539031,0.2395215768016089,0.23392895051264007,0.44408390145646914,0.6538402602773756,0.46237360327631305,0.36022779127985316,0.4530577131007736,0.8533209701719898,0.38913916693427053,0.4800210014897628,0.3719748207345265,0.29556737989524695,0.44264527571639656,0.4730929016775096,0.4719497753168369,0.40038526204928027,0.38862137859169676,0.5123113924770619,0.2576878657540642,0.635991350377729,0.2741074003581294,0.36495307813466416,0.5363164601208321,0.6603704203890961
A94,0.58703846036876,0.22793743237071395,0.3501566971834934,0.4650922710861759,0.5263947313288346,0.0,0.3030516404004645,0.25800072394828966,0.2984093603099469,0.5900401646434641,0.13396029028070966,0.40826661766394523,0.6192562656775289,0.6897141113722507,0.23044273755719769,0.38565164752312653,0.2217196893330623,0.2807017534170587,0.5736602179103439,0.5408856798075814,0.5187971739896087,0.43316324041983734,0.40487735413101766,0.4317363185775248,0.7121692560893103,0.5905962627761275,0.28651795030754934,0.5489329300826855,0.2618487184664219,0.2879967230666617,0.37960516115186715,0.2967184849563973,0.405942069600139,0.3815729518133014,0.35347219323651957,0.3650906450424235,0.43513605475735906,0.4514975265237199,0.29733268227060317,0.6023156170270816,0.3256621181297614,0.7602402745570804,0.4572073903091851,0.6223327377022547,0.3363788042441931,0.4172297075394463,0.71699895884106,0.3369417717451473,0.20976195430413636,0.325544311434104,0.663649033938282,0.4513453371864833,0.37857872943385007,0.5298245793857231,0.358458703597232,0.31019936010003524,0.24698715497954193,0.31143470766207326
A36,0.6513864559975155,0.2610200371521979,0.22118684167079927,0.4969723468978684,0.22510996335653988,0.3030516404004645,0.0,0.33359086920191916,0.29353876482272356,0.4811536114134076,0.2557123186337371,0.2766310121302322,0.4011421722764371,0.617047044360691,0.2469574760823483,0.5487106324749444,0.26917001218684034,0.370089556058278,0.2071912945497103,0.2302182523020544,0.5377742391134751,0.3214354295248283,0.3363296887807823,0.3150423899292958,0.5160368521276838,0.39421077067951416,0.2748269357593979,0.30047391951675817,0.36666380281366906,0.3294757898394446,0.547238704449627,0.39632682502363425,0.5163650992094897,0.5605279295182635,0.18136557830146216,0.2599512212703149,0.3065483285755536,0.6532492437903643,0.4070197430691068,0.3671267466503175,0.30634708198625105,0.7203739051519176,0.3832487472520705,0.35029824953582067,0.19736224957115034,0.3245362901238409,0.6524111889236668,0.38488389543105395,0.3382964838266881,0.3310024785198059,0.5371131042326274,0.5068681092329786,0.14107360692966764,0.6654239211269706,0.214115637807328,0.24861996328298763,0.3747501166198389,0.450560760107637
A42,0.5922932439236244,0.40349134502350636,0.2855765539463617,0.38304009750478774,0.4551591872911529,0.25800072394828966,0.33359086920191916,0.0,0.49891664438574357,0.5033400228725999,0.2986060822341732,0.4925059293410009,0.3978204902751955,0.6067124426806292,0.24146945475605774,0.5322332301686852,0.2720261305453491,0.34899411090038523,0.4612148870263397,0.4897428680507595,0.5976849551541933,0.3732314353380918,0.5339426332073969,0.5229380699251949,0.698966532381581,0.7984194124019877,0.27386700618467674,0.5734704584073704,0.37083891571017513,0.3967321338357729,0.47070536100872096,0.43166219990684684,0.6760961156778673,0.37562686954769964,0.482534343288176,0.28903371227037533,0.44331139856471746,0.62696768605273,0.3132560988981963,0.5523041620394524,0.32017159184678234,0.793183482773728,0.5136048163193931,0.6887110459831565,0.3719474464957835,0.4083748888048987,0.5954474757033735,0.3379918302242281,0.4126512132754956,0.38975888128557645,0.5013694495926825,0.5449939661682368,0.31158498877362506,0.5544442056784649,0.24881905638828894,0.2281714638102441,0.45472821450603784,0.49516276832452943
A47,0.6006855123480708,0.39650380562031584,0.46985003793638425,0.537315519938111,0.5667181745927461,0.2984093603099469,0.29353876482272356,0.49891664438574357,0.0,0.4710191733156369,0.43829630025645183,0.3448135445187084,0.7162096166481784,0.6217580566426594,0.37106893553480624,0.4326740225099024,0.40099577271792564,0.3089653590885355,0.6090701713805953,0.5599836761090328,0.4154147125368143,0.38404385339469527,0.46993536317840523,0.23732580419502824,0.7295246068923695,0.5959656704448686,0.44258159913727746,0.6299331557565309,0.4508135504072548,0.3067173256773892,0.5910396503427846,0.40365443809867374,0.5349833730654385,0.5814230386895725,0.522361083228591,0.40941836091052974,0.3235527340067972,0.5116661278047379,0.5323409220236139,0.5805039762905908,0.2526597651794654,0.46086628889301195,0.598988363488543,0.46833074809902564,0.38376621977714553,0.5819045837212564,0.6991678377241543,0.5054506334594508,0.33112737946080073,0.3592000150387208,0.7272985629405724,0.5479910589512584,0.3567479499640275,0.5391316854226832,0.4899952063284282,0.3730445493863398,0.42028790847087993,0.415461538536145
A59,0.6857737876690662,0.5528413064240264,0.42301874197490796,0.5863697028425716,0.4230247474669827,0.5900401646434641,0.4811536114134076,0.5033400228725999,0.4710191733156369,0.0,0.6699187465040783,0.3077523718106252,0.38458823627846006,0.5073058312871263,0.3546385143984614,0.6615180856603036,0.470934893090065,0.5667233999617378,0.625159581320093,0.37080055685093083,0.636675545390322,0.5309184048720467,0.6091346003922313,0.5843167317575055,0.8785675793605497,0.8150615329372668,0.5793686417696406,0.6383975604850609,0.4925873030324489,0.42626844891465254,0.8297512452467212,0.7230839748518378,0.7813209780291539,0.6693966475442017,0.6647276583728887,0.3184522115855648,0.5330156362197347,0.5967283209638005,0.5124829617979265,0.6699861978411981,0.40293472993863766,0.7061294453704976,0.6974416775073755,0.565698139731614,0.5611235651079902,0.5530660866733506,0.5742654785920068,0.5803636124072193,0.7335120958191443,0.5480555420084434,0.6689839494608856,0.9377045775919031,0.25327489543122683,0.6382062320913886,0.48614837023875024,0.4998067425119288,0.7723881099018223,0.5773204162780479
