,A4,A35,A58,A63,A89,A94,A36,A42,A47,A59,A75,A98,A40,A51,A57,A2,A28,A85,A95,A7,A12,A13,A31,A50,A53,A96,A22,A44,A46,A64,A99,A17,A21,A41,A72,A88,A92,A15,A16,A23,A70,A8,A20,A49,A71,A78,A87,A100,A55,A62,A68,A5,A24,A27,A48,A74,A77,A82
A4,0.0,0.6288443475398461,0.3913118793571003,0.2910125981593671,0.5030745505441787,0.6481273606456199,0.5378907024344213,0.5123331161750228,0.595193795085792,0.47782907002586916,0.6380431606646603,0.47794996618940855,0.47868642138638495,0.2435351770965516,0.5988519054524513,0.5113346407816228,0.6751679556266128,0.47242472122409995,0.5913406827868519,0.5338128723241811,0.5134039956755507,0.5165207832280396,0.501814982022163,0.4956124738000113,0.43329552343823097,0.5453677939564929,0.5278605913644201,0.5108354282273712,0.6374948630458608,0.5349830579223587,0.490747053694506,0.380695972539861,0.4475414537818756,0.3138170008736785,0.5901372391176795,0.4354369119681376,0.46851097962092436,0.4741858764683342,0.5336022136767666,0.5060995800376293,0.6140178774309857,0.6039211445116706,0.5787435831463259,0.5657356232256798,0.6207038007016844,0.4858253478002982,0.4529952145909082,0.500002177116144,0.7031061842715787,0.353320266148872,0.2679518484271578,0.3797124474851684,0.39842375985566025,0.40154166509845923,0.4474582055274211,0.6199833064995791,0.5920878398099612,0.47608329437031904
A35,0.6288443475398461,0.0,0.33809435186106485,0.7025990135372737,0.35310377779388824,0.3930543615119597,0.3065126003156865,0.40341523575761196,0.35861472375695536,0.43635975826160744,0.2837667600690543,0.37627799857214494,0.47137239540301934,0.531600324026381,0.34654877692173025,0.45310568941116114,0.4612954367195713,0.5030376681489221,0.37080061779703233,0.49986563674911155,0.5645697599268306,0.5182664181199164,0.4112343724363867,0.46274516077607686,0.7039566525223304,0.4541363953054196,0.5123823157921368,0.399102761102174,0.3696979017362757,0.3885345840209993,0.42951458079579596,0.5114930392562,0.6373047227267983,0.5331393323259622,0.3873697991954058,0.5279433383182601,0.5003763434505211,0.4521406279845228,0.5983344987649934,0.4838699453660381,0.46354239961679233,0.6300483487233195,0.4785804576591728,0.4514403349110131,0.3365763347520194,0.3534031517419588,0.4814894727443164,0.4556371105557051,0.31483734224583726,0.3661067587743331,0.5818787006937675,0.34322114197258435,0.36345687093406653,0.4958399507171659,0.41057524533976764,0.3357254950251557,0.2657707574037207,0.36988379146274053
A58,0.3913118793571003,0.33809435186106485,0.0,0.45710593131815247,0.33109728194311583,0.5495210995430007,0.37631335754734163,0.48081048248736535,0.48001503828647507,0.5239099540199159,0.5155470095767423,0.46453746408093566,0.36891381920017163,0.35235678695731254,0.3896529963844525,0.500834894465976,0.48893935257603316,0.4313354735097005,0.33604797237516526,0.5334478276048136,0.4967325326278389,0.384767305375491,0.4166210155185114,0.4393198295450992,0.5790640484586446,0.37284153527093145,0.5112064485277494,0.3282835790289089,0.4627988759798911,0.4660470458516579,0.4520841837082509,0.3985837650561984,0.5977506318606369,0.3851605991471624,0.36960693059048344,0.45793446705435636,0.4210130043267275,0.47593209559621386,0.47797751966201385,0.47117942305258176,0.5526243568029294,0.540895105391156,0.5161018753061142,0.461137620996796,0.4516142988330968,0.3221271255228939,0.4771840636679673,0.32747135930109095,0.5716842297157374,0.2961918753757363,0.353835136042717,0.36959033613518255,0.3440721674354078,0.5268011329957905,0.30667124193353,0.4366397553975798,0.3211124837067183,0.31554779582400083
A63,0.2910125981593671,0.7025990135372737,0.45710593131815247,0.0,0.5266544131020674,0.6787460958718234,0.5063575625891313,0.46024987821475183,0.6777454588585888,0.4479196791424832,0.7050293218438917,0.5165912417337175,0.42007783320572856,0.3470469173468732,0.47409252508766553,0.5402273402755067,0.7056196520744753,0.4899411023583926,0.4976158484419838,0.44139943408602955,0.5801394927322749,0.44888956945003133,0.5454132549577403,0.5246877535586614,0.4398246350082602,0.6086441434300082,0.4241182091712352,0.4256096906608706,0.668449564327211,0.5389241307103996,0.4498126821190509,0.46033714090856614,0.4506844169583297,0.40618916102957314,0.6633929055270065,0.4409720402879841,0.3856310889612141,0.5634417253744112,0.557797295791645,0.5699743780409189,0.5843499256771872,0.5647359640475399,0.5974758814757689,0.5493489511314141,0.6447241073972817,0.5479315783852498,0.4422810202278332,0.4451919492123718,0.7356876983937879,0.38910431610946794,0.29282607050832876,0.43037681443520726,0.3614974006685676,0.4248452510387405,0.37804403081775884,0.5252116180154567,0.7297351880270881,0.5279091465389978
A89,0.5030745505441787,0.35310377779388824,0.33109728194311583,0.5266544131020674,0.0,0.5422523999921065,0.3408880797559136,0.5102838530281402,0.49068148282828616,0.4750871120328314,0.4617307109863783,0.39663863677385225,0.4690516588025061,0.4916984872088138,0.4231350833350732,0.4799312045476417,0.4617478665350422,0.5244318101563213,0.3106989620787908,0.33520362932030057,0.4979790245368211,0.4220411438257269,0.39871969180362543,0.4017366345148643,0.560470251533381,0.2908144461541017,0.4865619116343759,0.293303267422223,0.4455407709303961,0.4106976783763039,0.4462858107307762,0.4531474696012088,0.5288189059853237,0.505574663694109,0.21547533691450227,0.4423851731227981,0.440963279835934,0.42215181872363305,0.5331764265074692,0.47483833899655326,0.5039941074248213,0.5416716727104061,0.39917806394350785,0.3797007350936332,0.4593648305982009,0.301032765632007,0.4453683346282511,0.47412829623217767,0.40729649903309306,0.3382542047032059,0.48642847241965215,0.3821144718278636,0.3950828633519402,0.5518255757720056,0.4368500325934609,0.3677249778512296,0.41101076272697423,0.3990209094687325
A94,0.6481273606456199,0.3930543615119597,0.5495210995430007,0.6787460958718234,0.5422523999921065,0.0,0.3241123775028545,0.30915565444201154,0.3257915214603917,0.43970669640370985,0.22236397390600826,0.46601399703799107,0.5015735435516535,0.6064726329472718,0.4775862604916349,0.6362504104059173,0.6464638230122957,0.5960169813531419,0.6358757916634286,0.5379105410389762,0.7478943850908033,0.6643875968255102,0.4377351823549883,0.5810061224164834,0.8342769745488452,0.6025518664944516,0.3791306597833699,0.5558717684428351,0.46520850138567527,0.33264552250900936,0.5044818397251376,0.5951069090665289,0.6533155026038797,0.6585701868678807,0.5458130605885498,0.5741780195386477,0.6744729439246906,0.6181041272784134,0.6349170669755311,0.5531715321727155,0.589352832647241,0.7214625098230225,0.6132275580302108,0.6857757305296583,0.38872413496880476,0.5265916316208694,0.444185343936096,0.5964259230661471,0.484482636356268,0.4364076090305391,0.7064829496026164,0.3948776818769235,0.4226511038989703,0.44663440784040276,0.5253739049641021,0.5445009248666084,0.4314890091403587,0.5320010047767891
A36,0.5378907024344213,0.3065126003156865,0.37631335754734163,0.5063575625891313,0.3408880797559136,0.3241123775028545,0.0,0.27151719551918063,0.3088218824374316,0.461227855678671,0.25944108855780046,0.33989506460906016,0.4211515689196903,0.4895808336119588,0.4109488439232818,0.5405358066564028,0.5347160526811734,0.4274708637555217,0.4161302265309673,0.4082870975095916,0.6814002924055584,0.46109876230951696,0.4171564679173455,0.3994733894001524,0.6150737810209312,0.3714832139811953,0.3255898611637009,0.3542484345525253,0.4195117715379546,0.3368558856115593,0.38048425527531327,0.4330733081469762,0.571093291583636,0.5322993005699346,0.36266651177399534,0.49726133400592665,0.4455233008877283,0.5647148698796527,0.6266171161752034,0.41147294395538525,0.5161448586462745,0.5842706170972625,0.44135714535047177,0.4888891020107393,0.3772993600016261,0.3971004687455272,0.43583208239731497,0.5339541710811782,0.3774869531807442,0.3111545044624108,0.4878683106304036,0.34703209523369927,0.280860235127975,0.4294091982685837,0.3278278428651322,0.4152600165530491,0.4023352045588744,0.3688669675446822
A42,0.5123331161750228,0.40341523575761196,0.48081048248736535,0.46024987821475183,0.5102838530281402,0.30915565444201154,0.27151719551918063,0.0,0.4887821881728587,0.4234768544218629,0.3048881561036296,0.4453054950503379,0.3699093154009452,0.4772958437547674,0.45197017525735306,0.6153055069557527,0.5734565885113263,0.3968774902131261,0.5153462686774812,0.5003965448022558,0.6969176734607063,0.5552486217558923,0.5589476415123951,0.5709190518453776,0.6666722982008123,0.6224853417388845,0.34054457463057264,0.47902583633369566,0.5044340646898529,0.4540558690427319,0.3423493208982219,0.49517184000274483,0.6409094176872426,0.48054299294245717,0.5607112107349397,0.4920313433177296,0.5341391093780786,0.6019288072156597,0.611357648100302,0.48553269849599245,0.6228049974596208,0.6598571593622025,0.5899999396080216,0.6573144154928601,0.4977043114832662,0.4807510026039452,0.44709107917495894,0.500020020398155,0.48095382647059026,0.3932065454777456,0.5267021988006122,0.3676063059609276,0.289220638376509,0.3854273100901112,0.36545100138416775,0.4110126631938641,0.4910777187783669,0.43935956867569337
A47,0.595193795085792,0.35861472375695536,0.48001503828647507,0.6777454588585888,0.49068148282828616,0.3257915214603917,0.3088218824374316,0.4887821881728587,0.0,0.459855356365392,0.41559068091769014,0.3876050647248387,0.5042646280493286,0.6029654276328995,0.4673008211078926,0.4448772735977169,0.525376453026823,0.5700824256224301,0.5528993882572141,0.5010367137002836,0.5608132588844825,0.5248559335956312,0.37832486331687976,0.35272224522979934,0.6812878500534209,0.49916498113489804,0.45019403745495523,0.4939183279952374,0.4207908723995988,0.2984765972493335,0.48405670092941455,0.5098230821327974,0.6032187861452996,0.5756003352998698,0.47875055195621574,0.6213305589482714,0.47415453152569476,0.49686056180309135,0.6455986550366203,0.427570689326224,0.3681798071647855,0.48095676346236926,0.4898817202767809,0.507184253068985,0.32128271232439864,0.47419204138854765,0.5427593973403836,0.5761483927758246,0.40790718326866593,0.3978553761783391,0.7170707060172785,0.4802689490476053,0.47383711751191326,0.5333789345440052,0.5427067510761066,0.4823688918572514,0.41719842541227237,0.4325781149207759
A59,0.47782907002586916,0.43635975826160744,0.5239099540199159,0.4479196791424832,0.4750871120328314,0.43970669640370985,0.461227855678671,0.4234768544218629,0.459855356365392,0.0,0.5292311749397423,0.4170103066435028,0.39233068535400295,0.47598629875621856,0.37800785503888246,0.5686035675110551,0.5184712241936038,0.4858255540309253,0.561893118005262,0.41371593504291704,0.5843573783641549,0.5585399281087948,0.4487790310288068,0.5805425303476894,0.6624025556900381,0.6588015198608276,0.451188644590391,0.4612528006601945,0.4477235706385314,0.3581067393210142,0.5488675392272757,0.5750167287201544,0.5606507242080977,0.5873067135198224,0.5968509925795462,0.40894324969907836,0.5282072166129244,0.5171614437068787,0.4913672231864593,0.5472929064849243,0.5696108643917446,0.6362625437092764,0.5902336504666974,0.5863509349937504,0.512504021966089,0.49905480722547524,0.4258974778760216,0.4829685220819252,0.566895188369271,0.42913708809676177,0.5363389466294102,0.47202711715514545,0.2953611042451655,0.38031939639558165,0.507537752081917,0.5366121625987756,0.5526486536314694,0.485556021248188
