,A4,A35,A58,A63,A89,A94,A36,A42,A47,A59,A75,A98,A40,A51,A57,A2,A28,A85,A95,A7,A12,A13,A31,A50,A53,A96,A22,A44,A46,A64,A99,A17,A21,A41,A72,A88,A92,A15,A16,A23,A70,A8,A20,A49,A71,A78,A87,A100,A55,A62,A68,A5,A24,A27,A48,A74,A77,A82
A4,1.0,2.4420439388181134,3.3594283603734896,1.4368868909148675,1.6246845739952926,1.485179615935535,3.680317378526195,3.6953040567278235,4.160345251176073,1.2559268815054734,1.6215782061149453,1.4922385146409578,3.5109899886588734,2.342350084316777,3.727028295987278,4.074776697511227,1.551547899913337,2.797562230121964,2.0433990475269503,5.888959539916137,5.126369550424443,6.71852117612176,6.099683387043362,6.982618733096618,7.0,5.670794093710129,5.959927650370496,6.6538568375976785,4.666737353195462,6.862324186961404,5.771412117238974,5.761345873271862,6.763826370129366,5.758015352650153,5.948855670840063,5.2293551766622866,6.593079752188317,5.690545746966713,5.743621563080632,3.964933571885576,2.745864092984314,4.704763534295264,7.0,6.874108903269507,6.244422311402333,6.795411033262478,6.351971418750498,5.442241378872282,5.442718816053734,5.777034978936657,4.685660105211364,3.863822163668108,6.038788188602554,4.8566847878102095,4.571791702322011,4.420383708709162,6.6454323533454085,5.814206224802954
A35,2.4420439388181134,1.0,1.846101870152694,3.23365762914559,3.909602125648343,3.011012633755136,1.588975514990996,1.6048542426833259,1.488746143601737,2.6624304329122577,2.848899543264843,2.263814169255056,1.6929893274548395,1.6074987354333987,1.515093406469001,1.7294223833356022,4.241767333375216,3.5047751408337238,2.153846153846154,5.8496633488778045,6.365328603171414,6.1422908799090745,6.870929875208175,4.951360817620838,6.77564710600242,5.627728915944833,7.0,6.407657702094926,6.079748116816474,5.926838412507982,5.7584021489907276,6.788962332147692,6.091104663088299,4.078803160027199,6.914648609392948,6.772261514062935,6.7051944004885,4.75485881042151,5.465067759803338,6.007549267081032,5.5074682832063315,5.035244070830414,6.474887254211208,6.818612070543881,6.336918374287732,6.314261039692019,4.739772528137067,5.79524385223995,6.750637096752026,4.257493629603477,6.708563163464894,6.972869141652172,3.715321710398329,5.5526076812278635,5.115614748454951,6.658897525041164,6.999008022357481,4.62987087864634
A58,3.3594283603734896,1.846101870152694,1.0,4.21278971917679,3.7980128199040477,2.7619717462963935,1.4196687483856545,1.8351602385866097,1.6007915889954238,3.195022707530988,2.215108100162012,4.283550266835408,1.6251276855253969,1.3349074507752468,1.7423525446513057,1.1766188554118013,3.713562130369045,2.3583765420983847,5.506289810064628,5.686955451288162,6.928416104843119,5.191073041180264,6.8471406427606105,6.314758201288065,6.146258528819282,6.798742568798591,6.724598294748461,6.363278192752922,6.243736161041042,5.410923098276759,6.0094680902070365,5.035229637669307,5.83717341542007,6.552737328547241,6.994815770542633,6.049127120897981,6.205273890938528,4.440400725379195,4.378363251628676,4.973928654268564,3.3359386282750036,6.66249399871684,5.649605181216938,6.894024742405508,6.667868835983466,5.7287747088618275,7.0,6.749953238078303,4.334598366198512,5.378654737952797,5.157053321875157,5.319097828879835,4.508490795486392,6.684805563167467,6.327929004755928,4.610696037341477,5.017138242681183,5.023509434258978
A63,1.4368868909148675,3.23365762914559,4.21278971917679,1.0,1.6494151005156699,1.4345861358742975,3.405719014604809,2.447871455716787,3.2661313685425135,1.6124343150820173,1.9845253858111713,1.6594703228705545,2.459934056566781,4.477331755783016,3.4160123921262455,2.5179353795514228,2.431233368101142,1.5795163166492443,1.7576535130694997,5.076268231105471,6.285342171780179,6.791063841754576,6.951491149188215,6.810363204081005,7.0,6.840048918169221,5.815687745238109,6.856284042869806,6.912217829556148,6.06409848484701,6.782287268160481,6.740192304765161,6.734151297802166,6.035776491885514,5.666479370988892,6.425927577252101,6.439441440942701,5.841794483533456,3.274641426703519,4.152410508864449,4.8369871566788545,6.349680518519661,5.259468188614978,6.843409132587064,6.078806593641887,4.86944369998511,5.790793537877367,6.070007544555018,5.902145485131272,5.318540346510654,5.37501306943757,5.867592648032629,5.2419285872129695,6.1182165512700175,6.73487905510278,5.227623586296384,6.858291157935053,4.871374582969516
A89,1.6246845739952926,3.909602125648343,3.7980128199040477,1.6494151005156699,1.0,1.6387840370571976,3.0090569886242746,3.4760849460217833,2.447082267224041,1.8261272770763755,1.548417108329533,1.559366431148632,2.298316552734705,2.3367230293667838,4.29095786211575,3.6441268639957993,1.7017654616578495,1.586689437121112,1.755157202122629,6.5051706337431305,6.931434090423494,6.931024954059078,5.563846786910491,6.94700307425579,7.0,6.834724977144672,7.0,4.020783293010461,6.511734046132069,6.33527472425346,6.630779954237235,6.216637161538797,6.439607406109019,4.984798608332152,5.084115548221403,4.329012324609666,6.573466577351543,3.659527970847519,6.504240244126449,6.7591318246680006,4.27305194797094,6.896513770330832,6.837153989606809,6.668199280119888,5.04660339552413,7.0,6.266291011878904,5.944119241699708,4.985148820800588,3.7946777754454692,4.622220960959831,6.078594729326385,6.173723915233751,5.921102388975442,3.9996277721955766,5.318608335564323,5.0327609025415185,7.0
A94,1.485179615935535,3.011012633755136,2.7619717462963935,1.4345861358742975,1.6387840370571976,1.0,2.160448943820189,4.737721038893875,2.3726330855839777,1.6731242594587359,1.642501804494437,1.001382957821923,5.536060743733493,2.3329275941501395,3.8686168752658654,3.2466070690479376,2.132210929892784,2.273012952676181,2.904516903954604,4.165258121033965,6.746006455328764,6.2907561715799964,6.886685794672606,7.0,3.754976269461485,6.249771511133278,6.883502651441577,4.019173179300283,6.862324186961404,6.811228168262103,6.877203853798833,5.742758198843323,3.9984363828057194,6.747206537863086,3.696585436608801,5.9152391706663145,4.5984219288410895,4.477594456154749,3.9310728613525905,3.01227272703664,6.264456552610632,6.7319569707257365,5.858378202674954,6.5931768522591625,5.143210370694015,3.8584588687164527,6.265915051627953,5.984759015062018,6.728875184675238,5.054242252418157,4.829998925842746,5.042065900288022,5.834910603723646,5.41944394642025,5.548258403483309,6.34235267639227,4.865024960465914,6.273202092425134
A36,3.680317378526195,1.588975514990996,1.4196687483856545,3.405719014604809,3.0090569886242746,2.160448943820189,1.0,1.2955097590330429,1.262851829519789,2.3065341810478994,2.7121460085582916,2.0703312281440347,1.5201413222158195,1.7285048268059338,1.604516221800326,1.5898316393936547,3.412340254781273,2.5696339571647,3.143732626325921,5.954719359762187,6.708912648677042,6.79144015830919,6.4150167755175564,6.941153744025491,6.797176232927242,5.6114857156468165,6.908934318506317,6.9180419734769,6.345185984859302,5.998840728317808,6.833084354139089,6.254293924353442,6.912217829556148,4.975332687462169,4.3264209605089565,5.604205915211368,6.577361763209944,5.546049894995272,7.0,6.329552158286329,3.7677582967094336,5.496747209715068,6.533201656693662,7.0,6.720973867070192,6.9447476713677645,4.73384677153677,5.7134080611339595,6.0077995857464765,5.085600619417233,3.4217674656995203,6.347017918991461,4.790304592296025,6.369057863940459,6.064169288649666,5.466810219171214,5.754320658202303,5.988827004107964
A42,3.6953040567278235,1.6048542426833259,1.8351602385866097,2.447871455716787,3.4760849460217833,4.737721038893875,1.2955097590330429,1.0,1.5696308026728922,2.5852072827702726,3.7213214803775663,1.9119409116035315,1.5753065599526088,1.7806984073922514,1.4938561007495552,1.7257482794526955,2.401578238623947,3.1613899052186065,2.3041646733587524,5.177427157740557,6.8327312537762985,6.016708392681573,6.810394469886928,6.933397587063374,6.776370110041194,5.772805943477487,7.0,6.430195481319392,6.624911448383926,5.897441602110761,4.5089470041645034,6.695268295746017,7.0,6.0568718226463245,6.783281647927518,5.187693177019865,6.295983827069066,5.513945009152469,4.66171471084058,5.845761033236751,4.511683187249588,6.932497724622759,5.131674121177914,6.474084223445386,5.729790879731405,6.588255191133985,6.94981868203795,6.133776162120823,6.62571641658213,6.79498271584824,5.22862105853857,5.207087829735644,4.0547607224921345,4.724942831709826,5.001811212409259,6.4241862879750045,5.889653689066909,3.313916362188319
A47,4.160345251176073,1.488746143601737,1.6007915889954238,3.2661313685425135,2.447082267224041,2.3726330855839777,1.262851829519789,1.5696308026728922,1.0,3.3717126521424676,3.3077846139077396,2.983731656289094,1.5547876770990057,1.4351124838806733,1.3622396497749831,2.4129514396522715,2.5958032392452557,1.9051293141686916,4.4209498782470185,6.851253157759822,7.0,7.0,6.577524009120578,6.257808933472609,6.817102657210106,5.911177283140519,6.96295233581998,5.891528668959063,6.268102117772598,6.712173574138229,6.2616410754132446,6.568843253404024,6.800684291020247,6.135967205991114,5.9858241584574525,6.278490894869616,6.729719659394741,5.488619237075617,4.442719890530478,4.685909967207337,5.780552483328992,6.735163806858099,6.356763724152157,6.9688126956798575,6.9636648126192995,5.865085612879032,5.473510438947106,6.182433858333872,6.811770013865056,5.871894720050445,6.261242011324525,5.993202754254162,5.611434394805126,6.829656381339311,6.54227022180666,3.7347962963180477,6.152396564211972,3.5774905680808526
A59,1.2559268815054734,2.6624304329122577,3.195022707530988,1.6124343150820173,1.8261272770763755,1.6731242594587359,2.3065341810478994,2.5852072827702726,3.3717126521424676,1.0,1.7147663356144485,1.5373004566823827,4.385744797929739,3.5037597222102157,2.8571180511225758,3.411805749852615,1.8955310995371446,1.9703067438673552,2.6215702210119183,6.377381467148404,6.525396057354321,3.7879779872387846,4.233512997455167,7.0,4.994463360963906,6.015089665272325,6.414194608806386,5.14074169992845,6.72829454269714,6.817644005036457,6.886315023716735,5.795107546384228,5.46214911155667,5.638665755021531,6.891905228494405,5.245836389994141,6.976963705182846,3.912903642635414,6.637981940750018,5.131122724284914,3.4254945879462744,6.258675947712813,6.799212394527938,6.539158160613097,6.771296866470831,6.796591368854272,6.61785545544503,4.752599219313479,5.773465395396828,3.5361957572590748,5.611434394805126,5.1634751911178025,4.293676161119847,5.320946584361808,6.658214280811914,4.286049764244412,6.612308122526228,4.541935988400717
